Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Barbados,BRB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,320.375,477.4375,446.5625,571.6875,344.3125,388.375,444.4375,363.25,312.4375,356.25,268.75,285,326.875,406.25,262.5,300,224.4375,368.75,356.25,362.5,375,375,277.5625,291.6875,208.25,237.5,193.75,193.75,187.5,168.75,168.75,168.75,168.75,168.75,200,200,200,187.5,200,200,200,45.85714286,79.71428571,214.2307692,109.0769231,139,133.6153846,135.1538462,77,135.0833333,96.27272727,199.522,133.5684211,80.01111111,123.2775,113.8042857,147.8542857,77.98857143,,
Brunei Darussalam,BRN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,166.6666667,62.66666667,181.6666667,71,281.6666667,298.3333333,420,133.3333333,233.3333333,133.3333333,2100,2200,2250,1500,,,,,,,,,336,102,151.5,308.5,66,377,112.6666667,103,431.75,117.5,113.5,44.6,141.8,141.8,141.8,141.8,141.8,,
Bhutan,BTN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,0.72173913,0.869565217,0.833333333,0.833333333,0.833333333,0.8,0.769230769,0.769230769,0.740740741,1.717241379,1.310344828,0.689655172,0.689655172,0.684931507,0.709219858,0.751879699,0.740740741,0.740740741,0.740740741,0.735294118,0.714285714,0.684931507,0.662251656,0.653594771,,,,,9.756756757,9.891891892,7.398734177,7.556886228,7.620621282,9.009537784,11.66,23.96,10.03976143,13.05389222,10.68802395,12.15508982,14.2006986,14.76057884,13.2533,30.48994709,35.9756383,,
Botswana,BWA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,2.781954887,2.756892231,2.756892231,4.010025063,5.25,5.3,6.75,3.75,3.75,4.25,4.125,4.364089776,4.738154613,4.890274314,5.985037406,4.987531172,5.236907731,5.236907731,2.729528536,3.473945409,3.473945409,4.444444444,3.209876543,2.962962963,1.108108108,1.665847666,2.200488998,2.200488998,2.173913043,2.142857143,3,3.6,2.857142857,2.53164557,6.620289855,9.684057971,12.66666667,18.46956522,19.16666667,13.14285714,23,,,,,,,,48.60443038,83.12741313,29.67901235,54.83508772,80.51785714,57.84328358,89.57241911,89.57241911,89.57241911,89.57241911,,
Central African Republic,CAF,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,0.182738095,0.189349112,0.217647059,0.233918129,0.465116279,0.63583815,0.747126437,0.914285714,1.095454545,1.255932203,1.179775281,1.012849162,0.920555556,1.61878453,0.934065934,0.87431694,0.923913043,0.864864865,0.053763441,0.777540107,0.671657754,0.372340426,0.23968254,0.631578947,1.526315789,0.352083333,0.422395833,0.300520833,0.4,0.489583333,0.46875,0.569948187,0.621761658,0.155440415,0.155440415,0.155440415,0.155440415,0.310880829,0.310880829,0.310880829,0.310880829,0.040813472,0.000167539,0.067316062,0.126984456,0.221777202,0.313005181,0.206880829,0.208235897,0.299816667,0.444727778,0.281838889,0.143922222,0.005994444,0.340977778,0.22465,0.186766667,0.186766667,,
Canada,CAN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,10.96976236,12.39003655,13.40391841,14.90057204,18.29353733,21.24661261,23.13932842,18.80910181,18.95358277,20.83320347,22.80387886,26.25324373,31.14704215,31.84363281,33.48269152,34.08974883,41.18004866,45.16810952,45.17443023,48.10651181,47.95209227,50.60571877,57.08428913,59.95434455,56.1820291,51.96613675,53.48456389,51.37503918,52.29799614,50.13300457,52.59487478,54.79428585,57.24302422,58.1770808,62.46180978,65.66964612,66.42785779,64.58612703,65.60241993,59.68585097,60.42089968,64.88235873,66.66769277,62.11334451,70.63817649,53.96828144,78.83548503,73.55244901,71.58433545,79.65645979,96.89352286,108.1837406,96.49842522,102.1508204,104.3571391,99.27329354,101.8203537,111.8205082,,
Central Europe and the Baltics,CEB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.12060733,72.96513101,74.64496987,75.00674926,82.55065814,83.5114742,78.59464847,74.71219798,82.00809929,90.37109355,91.51818664,101.5517572,98.26602151,106.8417879,107.9937053,120.5958783,112.3245209,98.79890527,112.60762,115.9758342,116.0327073,122.6283239,118.1042832,127.17797,132.675215,133.7385971,133.7049107,,
Switzerland,CHE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,268.8714971,303.0299221,313.5859758,328.0354351,352.6608419,358.490566,368.1893231,379.7609119,405.5555556,414.4422591,423.0876996,380.8126722,437.4310915,397.3727422,388.7232312,412.1786198,420.6542309,468.6917133,488.9891218,475.465757,440.4576183,437.3875032,448.6692015,447.0675944,443.7037037,428.6067805,444.6952596,441.5713575,433.4312286,415.9028982,390.1840491,374.2920463,368.3825323,345.8969466,319.7536712,296.9826562,291.2154031,290.4113235,248.4169508,217.5684932,240.1856375,196.2062209,203.3693782,216.4378844,227.9640571,228.6535627,229.8967044,227.272951,190.8300493,218.3831891,208.9551869,167.6360575,203.4501716,208.4011989,208.9335359,212.110053,199.8879161,187.792803,,
Channel Islands,CHI,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,12.70549451,18.43879781,22.15570652,22.68297297,23.46397849,29.83850267,26.17845745,26.3005291,27.96657895,33.18477704,32.44053644,31.62893553,41.75524135,38.24301541,21.81093449,28.05883754,24.84297924,31.78582164,36.05348419,34.60271116,30.63862845,30.11871508,39.02919501,51.81496403,59.42276423,77.98628503,90.18205462,95.55410265,101.1465798,109.4511064,113.9664804,140.9836066,167.1006944,167.3989455,191.0377358,213.0982368,219.4752775,237.4936837,263.9977778,275.4285714,274.8571429,307.7733333,330.1426667,491.3526667,434.7613793,475.8140741,534.1006339,687.2400915,612.4167939,373.2486231,492.5611238,339.4029618,347.5821238,358.2291343,415.7837014,293.8448338,291.0484945,307.604427,,
China,CHN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,7.040823235,9.598448109,12.11820841,16.32831897,25.41529212,36.46042686,26.56776405,26.68593544,34.54585231,44.04049287,45.83174418,52.91116265,65.28871192,56.17380967,70.0672898,65.77711601,93.75404184,111.7145473,134.7493112,158.1728538,155.332192,160.034163,172.4491212,174.8448721,142.9966483,142.907111,187.637111,208.2530512,206.925085,219.0993003,236.2427815,236.3347955,205.6421988,237.6702677,295.9246137,299.8866591,297.8395236,299.3979452,304.4963326,285.9447796,293.9154878,335.8142059,330.8037479,354.4306033,376.8997004,376.7396838,387.1512987,374.2178454,385.4265002,424.4187755,440.8322592,450.8029431,449.0524477,464.8275736,464.6199489,463.187015,421.4677499,393.2154566,,
Cote d'Ivoire,CIV,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,4.204166667,3.69702381,5.426190476,6.626785714,7.019047619,7.44047619,8.158235294,6.884705882,8.144117647,12.04352941,13.92352941,17.95087719,17.1454023,17.39267606,20.77134986,20.27173913,25.42553191,21.46596859,26.11220779,27.16112532,24.92385787,19.69849246,18.53490659,18.03563668,17.43697479,12.60504202,9.125,11.36363636,14.46280992,15.22633745,15.79591837,14.23076923,18.60785665,21.66666667,22,23.5,37.93103448,31.03448276,25.21428571,23.96428571,24.53571429,31.01892857,29.34535714,27.21892857,17.78035714,22.7725,23.99,18.21172414,15.30758621,32.08586207,19.40275862,26.02111667,31.13828,35.12064571,41.95444857,44.11828,39.26288,30.87347429,,
